股票代码,股票名称,所属板块,概念列表,热点标签
603170,宝立食品,食品饮料,,食品饮料
603171,税友股份,IT服务Ⅲ,,IT服务Ⅲ
603172,万丰股份,纺织化学制品,,化工
603173,福斯达,能源及重型设备,,能源及重型设备
603175,超颖电子,印制电路板,,印制电路板
603176,汇通集团,建筑装饰,,建筑装饰
603177,德创环保,环境治理,,环境治理
603178,圣龙股份,汽车,,汽车
603179,新泉股份,汽车电子电气系统,,汽车
603180,金牌家居,定制家居,,定制家居
603181,皇马科技,其他化学制品,,化工
603182,嘉华股份,农林牧渔,,农林牧渔
603183,建研院,检测服务,,检测服务
603185,弘元绿能,光伏主材,,新能源
603186,华正新材,印制电路板,,印制电路板
603187,海容冷链,通用设备,,通用设备
603188,亚邦股份,纺织化学制品,,化工
603190,亚通精工,其他汽车零部件,,汽车
603191,望变电气,输变电设备,,输变电设备
603192,汇得科技,化学制品,,化工
603193,润本股份,洗护用品,,洗护用品
603194,中力股份,工程机械整机,,工程机械整机
603195,公牛集团,轻工制造,,轻工制造
603196,璞源材料,非运动服装,,非运动服装
603197,保隆科技,其他汽车零部件,,汽车
603198,迎驾贡酒,白酒Ⅲ,,白酒Ⅲ
603199,九华旅游,旅游及景区,,旅游及景区
603200,上海洗霸,环境治理,,环境治理
603201,常润股份,其他汽车零部件,,汽车
603202,天有为,汽车电子电气系统,,汽车
603203,快克智能,自动化设备,,机器人
603205,健尔康,医疗器械,,医药
603206,嘉环科技,通信工程及服务,,通信
603207,小方制药,化学制剂,,化工
603208,江山欧派,定制家居,,定制家居
603209,兴通股份,未知,,未归类
603210,泰鸿万立,其他汽车零部件,,汽车
603211,晋拓股份,其他汽车零部件,,汽车
603212,赛伍技术,光伏设备,,新能源
603213,镇洋发展,化学原料,,化工
603214,爱婴室,专业连锁Ⅱ,,专业连锁Ⅱ
603215,比依股份,小家电,,小家电
603216,梦天家居,定制家居,,定制家居
603217,元利科技,其他化学制品,,化工
603218,日月股份,风电设备,,新能源
603219,富佳股份,清洁小家电,,清洁小家电
603220,中贝通信,通信工程及服务,,通信
603221,爱丽家居,轻工制造,,轻工制造
603222,济民健康,医疗器械,,医药
603223,恒通股份,油品石化贸易,,油品石化贸易
603225,新凤鸣,化学纤维,,化工
603226,菲林格尔,轻工制造,,轻工制造
603227,雪峰科技,化学制品,,化工
603228,景旺电子,印制电路板,,印制电路板
603229,奥翔药业,化学制药,,化工
603230,内蒙新华,大众出版,,传媒
603231,索宝蛋白,农林牧渔,,农林牧渔
603232,格尔软件,软件开发,,软件
603233,大参林,线下药店,,线下药店
603235,天新药业,化学制品,,化工
603236,移远通信,通信,,通信
603237,五芳斋,预加工食品,,预加工食品
603238,诺邦股份,生活用纸,,生活用纸
603239,浙江仙通,其他汽车零部件,,汽车
603248,锡华科技,风电设备,,有色金属；新能源
603255,鼎际得,其他化学制品,,化工
603256,宏和科技,玻纤制造,,玻纤制造
603257,中国瑞林,建筑装饰,,建筑装饰
603258,电魂网络,游戏Ⅱ,,传媒
603259,药明康德,医疗服务,,医药
603260,合盛硅业,化学制品,,化工
603262,技源集团,食品饮料,,食品饮料
603266,天龙股份,车身附件及饰件,,车身附件及饰件
603267,鸿远电子,国防军工,,军工
603268,松发股份,航海装备Ⅲ,,航海装备Ⅲ
603269,海鸥股份,通用设备,,通用设备
603270,金帝股份,通用设备,,通用设备
603271,永杰新材,铝,,有色金属
603273,天元智能,工程机械整机,,工程机械整机
603275,众辰科技,自动化设备,,机器人
603276,恒兴新材,其他化学制品,,化工
603277,银都股份,通用设备,,通用设备
603278,大业股份,通用设备,,通用设备
603279,景津装备,通用设备,,通用设备
603280,南方路机,工程机械整机,,工程机械整机
603281,江瀚新材,化学制品,,化工
603282,亚光股份,环保设备Ⅱ,,环保设备Ⅱ
603283,赛腾股份,自动化设备,,机器人
603284,林平发展,大宗用纸,,大宗用纸
603285,键邦股份,其他化学制品,,化工
603286,日盈电子,汽车,,汽车
603288,海天味业,食品饮料,,食品饮料
603289,泰瑞机器,未知,,未归类
603290,斯达半导,半导体,,半导体
603291,联合水务,环境治理,,环境治理
603293,埃泰克,汽车电子电气系统,,汽车
603296,华勤技术,消费电子,,消费电子
603297,永新光学,未知,,未归类
603298,杭叉集团,工程机械整机,,工程机械整机
603299,苏盐井神,无机盐,,无机盐
603300,海南华铁,租赁,,租赁
603301,振德医疗,医疗器械,,医药
603303,得邦照明,照明设备Ⅱ,,照明设备Ⅱ
603305,旭升集团,汽车,,汽车
603306,华懋科技,车身附件及饰件,,车身附件及饰件
603307,扬州金泉,纺织服饰,,纺织服饰
603308,应流股份,通用设备,,通用设备
603309,维力医疗,医疗器械,,医药
603310,巍华新材,氟化工,,化工
603311,金海高科,未知,,未归类
603312,西典新能,输变电设备,,输变电设备
603313,梦百合,成品家居,,成品家居
603315,福鞍股份,环境治理,,环境治理
603316,诚邦股份,建筑装饰,,建筑装饰
603317,天味食品,食品饮料,,食品饮料
603318,水发燃气,燃气Ⅲ,,燃气Ⅲ
603319,美湖股份,汽车,,汽车
603320,迪贝电气,电机Ⅱ,,机器人
603321,梅轮电梯,楼宇设备,,楼宇设备
603322,超讯通信,通信工程及服务,,通信
603323,苏农银行,银行Ⅱ,,银行Ⅱ
603324,盛剑科技,环保设备Ⅱ,,环保设备Ⅱ
603325,博隆技术,能源及重型设备,,能源及重型设备
603326,我乐家居,定制家居,,定制家居
603327,福蓉科技,消费电子,,消费电子
603328,依顿电子,印制电路板,,印制电路板
603329,上海雅仕,物流,,物流
603330,天洋新材,塑料,,化工
603331,百达精工,通用设备,,通用设备
603332,苏州龙杰,化学纤维,,化工
603333,尚纬股份,电网设备,,电力
603334,丰倍生物,其他化学制品,,化工
603335,迪生力,汽车,,汽车
603336,宏辉果蔬,农林牧渔,,农林牧渔
603337,杰克科技,纺织服装设备,,纺织服装设备
603338,浙江鼎力,工程机械整机,,工程机械整机
603339,四方科技,通用设备,,通用设备
603341,龙旗科技,消费电子,,消费电子
603344,星德胜,电机Ⅱ,,机器人
603345,安井食品,预加工食品,,预加工食品
603348,文灿股份,其他汽车零部件,,汽车
603350,安乃达,电机Ⅱ,,机器人
603351,威尔药业,化学制药,,化工
603352,至信股份,其他汽车零部件,,汽车
603353,和顺石油,油品石化贸易,,油品石化贸易
603355,莱克电气,清洁小家电,,清洁小家电
603356,华菱精工,楼宇设备,,楼宇设备
603357,设计总院,建筑装饰,,建筑装饰
603358,华达科技,其他汽车零部件,,汽车
603360,百傲化学,农药,,化工
603363,傲农生物,畜禽饲料,,畜禽饲料
603365,水星家纺,纺织服饰,,纺织服饰
603366,日出东方,厨卫电器,,厨卫电器
603367,辰欣药业,化学制剂,,化工
603368,柳药集团,医药流通,,医药
603369,今世缘,白酒Ⅲ,,白酒Ⅲ
603370,华新精科,电机Ⅱ,,机器人
603373,安邦护卫,其他专业服务,,其他专业服务
603375,盛景微,半导体,,半导体
603376,大明电子,汽车电子电气系统,,汽车
603379,三美股份,氟化工,,化工
603380,易德龙,消费电子,,消费电子
603381,永臻股份,光伏设备,,新能源
603382,海阳科技,锦纶,,锦纶
603383,顶点软件,软件开发,,软件
603385,惠达卫浴,轻工制造,,轻工制造
603386,骏亚科技,印制电路板,,印制电路板
603387,基蛋生物,体外诊断,,体外诊断
603390,通达电气,汽车电子电气系统,,汽车
603391,力聚热能,能源及重型设备,,能源及重型设备
603392,万泰生物,疫苗,,医药
603393,新天然气,燃气Ⅲ,,燃气Ⅲ
603395,红四方,农化制品,,农化制品
603396,金辰股份,光伏加工设备,,新能源
603399,永杉锂业,能源金属,,能源金属
603400,华之杰,通用设备,,通用设备
603402,陕西旅游,旅游综合,,旅游综合
603406,天富龙,化学纤维,,化工
603407,C长裕,无机盐,,无机盐
603408,建霖家居,轻工制造,,轻工制造
603409,汇通控股,车身附件及饰件,,车身附件及饰件
603416,信捷电气,自动化设备,,机器人
603418,友升股份,车身附件及饰件,,车身附件及饰件
603421,鼎信通讯,通信,,通信
603439,三力制药,中药Ⅱ,,医药
603444,吉比特,游戏Ⅱ,,传媒
603456,九洲药业,医疗服务,,医药
603458,勘设股份,建筑装饰,,建筑装饰
603459,红板科技,印制电路板,,印制电路板
603466,风语筑,传媒,,传媒
603477,巨星农牧,养殖业,,养殖业
603486,科沃斯,清洁小家电,,清洁小家电
603488,展鹏科技,楼宇设备,,楼宇设备
603489,八方股份,电机Ⅱ,,机器人
603496,恒为科技,其他计算机设备,,其他计算机设备
603499,翔港科技,纸包装,,纸包装
603500,祥和实业,轨交设备Ⅱ,,轨交设备Ⅱ
603501,豪威集团,数字芯片设计,,半导体
603505,金石资源,氟化工,,化工
603506,南都物业,房地产服务,,房地产服务
603507,振江股份,风电设备,,新能源
603508,思维列控,计算机设备,,计算机设备
603511,爱慕股份,非运动服装,,非运动服装
603515,欧普照明,照明设备Ⅱ,,照明设备Ⅱ
603516,淳中科技,其他计算机设备,,其他计算机设备
603518,锦泓集团,非运动服装,,非运动服装
603519,立霸股份,未知,,未归类
603520,司太立,化学制药,,化工
603527,众源新材,铜,,有色金属
603528,多伦科技,软件开发,,软件
603529,爱玛科技,汽车,,汽车
603530,神马电力,电网设备,,电力
603533,掌阅科技,文字媒体,,文字媒体
603535,嘉诚国际,物流,,物流
603536,惠发食品,预加工食品,,预加工食品
603538,美诺华,化学制药,,化工
603551,奥普科技,厨卫电器,,厨卫电器
603556,海兴电力,电网设备,,电力
603558,健盛集团,纺织制造,,纺织制造
603565,中谷物流,未知,,未归类
603566,普莱柯,动物保健Ⅱ,,动物保健Ⅱ
603567,珍宝岛,中药Ⅱ,,医药
603568,伟明环保,环境治理,,环境治理
603569,长久物流,公路货运,,公路货运
603577,汇金通,电网设备,,电力
603578,三星新材,未知,,未归类
603579,荣泰健康,其他家电Ⅱ,,其他家电Ⅱ
603583,捷昌驱动,自动化设备,,机器人
603585,苏利股份,农药,,化工
603586,金麒麟,汽车,,汽车
603587,地素时尚,非运动服装,,非运动服装
603588,高能环境,环境治理,,环境治理
603589,口子窖,白酒Ⅲ,,白酒Ⅲ
603590,康辰药业,未知,,未归类
603596,伯特利,汽车,,汽车
603598,引力传媒,营销代理,,传媒
603599,广信股份,农药,,化工
603600,永艺股份,成品家居,,成品家居
603601,再升科技,专业工程,,专业工程
603602,纵横通信,营销代理,,通信
603605,珀莱雅,美容护理,,美容护理
603606,东方电缆,电网设备,,电力
603607,京华激光,轻工制造,,轻工制造
603608,天创时尚,纺织服饰,,纺织服饰
603609,禾丰股份,畜禽饲料,,畜禽饲料
603610,麒盛科技,成品家居,,成品家居
603611,诺力股份,工程机械整机,,工程机械整机
603612,索通发展,非金属材料Ⅱ,,非金属材料Ⅱ
603613,国联股份,互联网电商,,互联网电商
603615,茶花股份,轻工制造,,轻工制造
603616,韩建河山,建筑材料,,建筑材料
603617,君禾股份,通用设备,,通用设备
603618,杭电股份,电网设备,,电力
603619,中曼石油,石油石化,,石油石化
603626,科森科技,消费电子,,消费电子
603628,清源股份,光伏设备,,新能源
603629,利通电子,消费电子,,消费电子
603630,拉芳家化,美容护理,,美容护理
603633,徕木股份,消费电子,,消费电子
603636,南威软件,IT服务Ⅲ,,软件
603637,镇海股份,专业工程,,专业工程
603638,艾迪精密,工程机械,,工程机械
603639,海利尔,农药,,化工
603648,畅联股份,物流,,物流
603650,彤程新材,橡胶助剂,,化工
603655,朗博科技,其他汽车零部件,,汽车
603656,泰禾智能,未知,,未归类
603657,春光科技,未知,,未归类
603658,安图生物,体外诊断,,体外诊断
603659,璞泰来,电池化学品,,锂电池；化工
603660,苏州科达,其他计算机设备,,其他计算机设备
603661,恒林股份,成品家居,,成品家居
603662,柯力传感,通用设备,,通用设备
603663,三祥新材,无机盐,,无机盐
603665,康隆达,纺织服饰,,纺织服饰
603666,亿嘉和,自动化设备,,机器人
603667,五洲新春,通用设备,,通用设备
603668,天马科技,饲料,,饲料
603669,灵康药业,化学制剂,,化工
603676,卫信康,化学制剂,,化工
603677,奇精机械,未知,,未归类
603678,火炬电子,国防军工,,军工
603679,华体科技,LED,,LED
603680,今创集团,轨交设备Ⅱ,,轨交设备Ⅱ
603681,永冠新材,化学制品,,化工
603682,锦和商管,商贸零售,,商贸零售
603683,晶华新材,化学制品,,化工
603685,晨丰科技,LED,,LED
603686,福龙马,环境治理,,环境治理
603687,大胜达,纸包装,,纸包装
603688,石英股份,非金属材料Ⅱ,,非金属材料Ⅱ
603689,皖天然气,燃气Ⅲ,,燃气Ⅲ
603690,至纯科技,半导体,,半导体
603693,江苏新能,公用事业,,公用事业
603696,安记食品,食品饮料,,食品饮料
603697,有友食品,食品饮料,,食品饮料
603698,航天工程,能源及重型设备,,军工
603699,纽威股份,通用设备,,通用设备
603700,宁水集团,通用设备,,通用设备
603701,德宏股份,汽车,,汽车
603703,盛洋科技,LED,,LED
603706,东方环宇,燃气Ⅲ,,燃气Ⅲ
603707,健友股份,化学制剂,,化工
603708,家家悦,商贸零售,,商贸零售
603709,中源家居,成品家居,,成品家居
603711,香飘飘,食品饮料,,食品饮料
603712,七一二,国防军工,,军工
603713,密尔克卫,仓储物流,,仓储物流
603716,塞力医疗,医药流通,,医药
603717,天域生物,建筑装饰,,建筑装饰
603719,良品铺子,食品饮料,,食品饮料
603722,阿科力,其他化学制品,,化工
603725,天安新材,轻工制造,,轻工制造
603726,朗迪集团,未知,,未归类
603727,博迈科,油气及炼化工程,,化工
603728,鸣志电器,电机Ⅱ,,机器人
603730,岱美股份,车身附件及饰件,,车身附件及饰件
603733,仙鹤股份,造纸,,造纸
603737,三棵树,建筑材料,,建筑材料
603738,泰晶科技,被动元件,,被动元件
603739,蔚蓝生物,化学制品,,化工
603755,日辰股份,食品饮料,,食品饮料
603757,大元泵业,通用设备,,通用设备
603758,秦安股份,汽车,,汽车
603759,海天股份,环境治理,,环境治理
603766,隆鑫通用,汽车,,汽车
603767,中马传动,汽车,,汽车
603768,常青股份,其他汽车零部件,,汽车
603773,沃格光电,面板,,面板
603776,永安行,汽车,,汽车
603777,来伊份,食品饮料,,食品饮料
603778,国晟科技,光伏电池组件,,锂电池；新能源
603779,威龙股份,食品饮料,,食品饮料
603786,科博达,汽车电子电气系统,,汽车
603787,新日股份,汽车,,汽车
603788,宁波高发,汽车,,汽车
603790,雅运股份,纺织化学制品,,化工
603797,联泰环保,环境治理,,环境治理
603798,康普顿,石油石化,,石油石化
603799,华友钴业,能源金属,,有色金属
603800,洪田股份,能源及重型设备,,能源及重型设备
603801,志邦家居,定制家居,,定制家居
603803,瑞斯康达,通信,,通信
603806,福斯特,光伏设备,,新能源
603808,歌力思,非运动服装,,非运动服装
603809,豪能股份,汽车,,汽车
603810,丰山集团,农药,,化工
603811,诚意药业,化学制剂,,化工
603815,交建股份,建筑装饰,,建筑装饰
603816,顾家家居,成品家居,,成品家居
603817,海峡环保,环境治理,,环境治理
603818,曲美家居,成品家居,,成品家居
603819,神力股份,电机Ⅱ,,机器人
603823,百合花,化学制品,,化工
603826,坤彩科技,非金属材料Ⅱ,,非金属材料Ⅱ
603829,洛凯股份,配电设备,,配电设备
603833,欧派家居,定制家居,,定制家居
603836,海程邦达,物流,,物流
603839,安正时尚,非运动服装,,非运动服装
603848,好太太,成品家居,,成品家居
603855,华荣股份,未知,,未归类
603856,东宏股份,管材,,管材
603858,步长制药,中药Ⅱ,,医药
603859,能科科技,IT服务Ⅲ,,IT服务Ⅲ
603860,中公高科,建筑装饰,,建筑装饰
603861,白云电器,配电设备,,配电设备
603863,松炀资源,大宗用纸,,大宗用纸
603866,桃李面包,食品饮料,,食品饮料
603867,新化股份,其他化学制品,,化工
603868,飞科电器,个护小家电,,个护小家电
603871,嘉友国际,物流,,物流
603876,鼎胜新材,铝,,有色金属
603877,太平鸟,非运动服装,,非运动服装
603878,武进不锈,钢铁,,钢铁
603879,永悦科技,合成树脂,,合成树脂
603880,南卫股份,医疗器械,,医药
603881,数据港,通信服务,,通信
603882,金域医学,诊断服务,,诊断服务
603883,老百姓,线下药店,,线下药店
603885,吉祥航空,航空机场,,军工
603886,元祖股份,食品饮料,,食品饮料
603887,城地香江,IT服务Ⅲ,,IT服务Ⅲ
603888,新华网,传媒,,传媒
603889,新澳股份,其他纺织,,其他纺织
603890,春秋电子,消费电子,,消费电子
603893,瑞芯微,数字芯片设计,,半导体
603895,天永智能,未知,,未归类
603896,寿仙谷,中药Ⅱ,,医药
603897,长城科技,电网设备,,电力
603898,好莱客,定制家居,,定制家居
603899,晨光股份,文娱用品,,文娱用品
603900,莱绅通灵,钟表珠宝,,钟表珠宝
603901,永创智能,未知,,未归类
603903,中持股份,环境治理,,环境治理
603906,龙蟠科技,电池化学品,,锂电池；化工
603908,牧高笛,纺织服饰,,纺织服饰
603909,建发合诚,建筑装饰,,建筑装饰
603912,佳力图,通用设备,,通用设备
603915,国茂股份,通用设备,,通用设备
603916,苏博特,建筑材料,,建筑材料
603917,合力科技,其他汽车零部件,,汽车
603918,金桥信息,IT服务Ⅲ,,IT服务Ⅲ
603919,金徽酒,白酒Ⅲ,,白酒Ⅲ
603920,世运电路,印制电路板,,印制电路板
603926,铁流股份,汽车,,汽车
603927,中科软,软件开发,,软件
603928,兴业股份,合成树脂,,合成树脂
603929,亚翔集成,专业工程,,专业工程
603931,格林达,电子化学品Ⅱ,,化工
603933,睿能科技,其他电子Ⅲ,,其他电子Ⅲ
603936,博敏电子,印制电路板,,印制电路板
603937,丽岛新材,铝,,有色金属
603938,三孚股份,其他化学原料,,化工
603939,益丰药房,线下药店,,线下药店
603948,建业股份,其他化学制品,,化工
603949,雪龙集团,汽车,,汽车
603950,长源东谷,汽车,,汽车
603955,大千生态,建筑装饰,,建筑装饰
603956,威派格,未知,,未归类
603958,哈森股份,纺织服饰,,纺织服饰
603960,克来机电,自动化设备,,机器人
603966,法兰泰克,能源及重型设备,,能源及重型设备
603967,中创物流,物流,,物流
603968,醋化股份,化学制品,,化工
603969,银龙股份,通用设备,,通用设备
603970,中农立华,农药,,化工
603976,正川股份,医疗器械,,医药
603977,国泰集团,化学制品,,化工
603978,深圳新星,金属新材料,,化工
603979,金诚信,铜,,有色金属
603980,吉华集团,纺织化学制品,,化工
603982,泉峰汽车,汽车,,汽车
603983,丸美生物,美容护理,,美容护理
603985,恒润股份,风电设备,,新能源
603986,兆易创新,数字芯片设计,,半导体
603987,康德莱,医疗器械,,医药
603988,中电电机,电机Ⅱ,,机器人
603989,艾华集团,被动元件,,被动元件
603990,麦迪科技,软件开发,,软件
603991,至正股份,半导体,,半导体
603992,松霖科技,轻工制造,,轻工制造
603993,洛阳钼业,铜,,有色金属
603995,甬金股份,特钢Ⅱ,,特钢Ⅱ
603997,继峰股份,车身附件及饰件,,车身附件及饰件
603998,方盛制药,中药Ⅱ,,医药
603999,读者传媒,大众出版,,传媒
605001,威奥股份,轨交设备Ⅱ,,轨交设备Ⅱ
605003,众望布艺,纺织服饰,,纺织服饰
605005,合兴股份,汽车电子电气系统,,汽车
605006,山东玻纤,玻纤制造,,玻纤制造
605007,五洲特纸,造纸,,造纸
605008,长鸿高科,塑料,,化工
605009,豪悦护理,生活用纸,,生活用纸
605011,杭州热电,公用事业,,公用事业
605016,百龙创园,化学制品,,化工
605018,长华集团,其他汽车零部件,,汽车
605020,永和股份,氟化工,,化工
605028,世茂能源,公用事业,,公用事业
605033,美邦股份,农药,,化工
605050,福然德,物流,,物流
605055,迎丰股份,纺织制造,,纺织制造
605056,咸亨国际,通用设备,,通用设备
605058,澳弘电子,印制电路板,,印制电路板
605060,联德股份,通用设备,,通用设备
605066,天正电气,配电设备,,配电设备
605068,明新旭腾,车身附件及饰件,,车身附件及饰件
605069,正和生态,环境治理,,环境治理
605077,华康股份,化学制品,,化工
605080,浙江自然,文娱用品,,文娱用品
605086,龙高股份,非金属材料Ⅱ,,非金属材料Ⅱ
605088,冠盛股份,汽车,,汽车
605089,味知香,预加工食品,,预加工食品
605090,九丰能源,燃气Ⅲ,,燃气Ⅲ
605098,行动教育,教育,,教育
605099,共创草坪,轻工制造,,轻工制造
605100,华丰股份,通用设备,,通用设备
605108,同庆楼,餐饮,,餐饮
605111,新洁能,半导体,,半导体
605116,奥锐特,化学制药,,化工
605117,德业股份,光伏设备,,新能源
605118,力鼎光电,计算机设备,,计算机设备
605122,四方新材,建筑材料,,建筑材料
605123,派克新材,国防军工,,军工
605128,上海沿浦,车身附件及饰件,,车身附件及饰件
605133,嵘泰股份,汽车,,汽车
605136,丽人丽妆,电商服务,,电商服务
605138,盛泰集团,非运动服装,,非运动服装
605151,西上海,车身附件及饰件,,车身附件及饰件
605155,西大门,轻工制造,,轻工制造
605158,华达新材,金属新材料,,化工
605162,新中港,公用事业,,公用事业
605166,聚合顺,锦纶,,锦纶
605167,利柏特,专业工程,,专业工程
605168,三人行,营销代理,,营销代理
605169,洪通燃气,燃气Ⅲ,,燃气Ⅲ
605177,东亚药业,化学制药,,化工
605178,时空科技,专业工程,,专业工程
605179,一鸣食品,乳品,,乳品
605180,华生科技,其他纺织,,其他纺织
605183,确成股份,橡胶,,化工
605186,健麾信息,自动化设备,,机器人
605188,国光连锁,商贸零售,,商贸零售
605189,富春染织,纺织制造,,纺织制造
605196,华通线缆,电网设备,,电力
605198,安德利,农林牧渔,,农林牧渔
605208,永茂泰,铝,,有色金属
605218,伟时电子,面板,,面板
605222,起帆电缆,电网设备,,电力
605228,神通科技,车身附件及饰件,,车身附件及饰件
605255,天普股份,汽车,,汽车
605258,协和电子,印制电路板,,印制电路板
605259,绿田机械,未知,,未归类
605266,健之佳,线下药店,,线下药店
605268,王力安防,定制家居,,定制家居
605277,新亚电子,消费电子,,消费电子
605286,同力天启,楼宇设备,,楼宇设备
605287,德才股份,建筑装饰,,建筑装饰
605288,凯迪股份,自动化设备,,机器人
605289,罗曼股份,专业工程,,专业工程
605296,神农集团,养殖业,,养殖业
605298,必得科技,轨交设备Ⅱ,,轨交设备Ⅱ
605299,舒华体育,文娱用品,,文娱用品
605300,佳禾食品,乳品,,乳品
605303,园林股份,建筑装饰,,建筑装饰
605305,中际联合,工程机械整机,,工程机械整机
605318,法狮龙,建筑材料,,建筑材料
605319,无锡振华,其他汽车零部件,,有色金属；汽车
605333,沪光股份,汽车电子电气系统,,汽车
605337,李子园,食品饮料,,食品饮料
605338,巴比食品,预加工食品,,预加工食品
605339,南侨食品,食品饮料,,食品饮料
605358,立昂微,半导体,,半导体
605365,立达信,照明设备Ⅱ,,照明设备Ⅱ
605366,宏柏新材,其他化学制品,,化工
605368,蓝天燃气,燃气Ⅲ,,燃气Ⅲ
605369,拱东医疗,医疗器械,,医药
605376,博迁新材,金属新材料,,化工
605377,华旺科技,造纸,,造纸
605378,野马电池,蓄电池及其他电池,,锂电池
605388,均瑶健康,乳品,,乳品
605389,长龄液压,工程机械,,工程机械
605398,新炬网络,IT服务Ⅲ,,IT服务Ⅲ
605399,晨光新材,化学制品,,化工
605488,福莱新材,膜材料,,膜材料
605499,东鹏饮料,食品饮料,,食品饮料
605500,森林包装,大宗用纸,,大宗用纸
605507,国邦医药,化学制药,,化工；医药
605555,德昌股份,清洁小家电,,清洁小家电
605566,福莱蒽特,纺织化学制品,,化工
605567,春雪食品,预加工食品,,预加工食品
605577,龙版传媒,传媒,,传媒
605580,恒盛能源,公用事业,,公用事业
605588,冠石科技,未知,,未归类
605589,圣泉集团,合成树脂,,合成树脂
605598,上海港湾,专业工程,,专业工程
605599,菜百股份,钟表珠宝,,钟表珠宝
688001,华兴源创,通用设备,,通用设备
688002,睿创微纳,国防军工,,军工
688003,天准科技,自动化设备,,机器人
688004,博汇科技,IT服务Ⅲ,,IT服务Ⅲ
688005,容百科技,电池化学品,,锂电池；化工
688006,杭可科技,电池,,锂电池
688007,光峰科技,消费电子,,消费电子
688008,澜起科技,数字芯片设计,,半导体
688009,中国通号,轨交设备Ⅱ,,轨交设备Ⅱ
688010,福光股份,未知,,未归类
688011,新光光电,国防军工,,军工
688012,中微公司,半导体,,半导体
688013,天臣医疗,医疗器械,,医药
688015,交控科技,轨交设备Ⅱ,,轨交设备Ⅱ
688016,心脉医疗,医疗器械,,医药
688017,绿的谐波,自动化设备,,机器人
688018,乐鑫科技,数字芯片设计,,半导体
688019,安集科技,电子化学品Ⅱ,,化工
688020,方邦股份,印制电路板,,印制电路板
688021,奥福科技,其他汽车零部件,,汽车
688023,安恒信息,横向通用软件,,软件
688025,杰普特,自动化设备,,机器人
688026,洁特生物,医疗器械,,医药
688027,XD国盾量,通信,,通信
688028,沃尔德,磨具磨料,,磨具磨料
688029,南微医学,医疗器械,,医药
688030,山石网科,横向通用软件,,软件
688031,星环科技,横向通用软件,,软件
688032,禾迈股份,光伏设备,,新能源
688035,德邦科技,电子化学品Ⅱ,,化工
688036,传音控股,消费电子,,消费电子
688037,芯源微,半导体,,半导体
688038,中科通达,软件开发,,软件
688039,当虹科技,IT服务Ⅲ,,IT服务Ⅲ
688041,海光信息,数字芯片设计,,半导体
688045,必易微,半导体,,半导体
688046,药康生物,医疗服务,,医药
688047,龙芯中科,数字芯片设计,,半导体
688048,长光华芯,半导体,,半导体
688049,炬芯科技,数字芯片设计,,半导体
688050,爱博医疗,医疗器械,,医药
688051,佳华科技,IT服务Ⅲ,,IT服务Ⅲ
688052,纳芯微,半导体,,半导体
688055,龙腾光电,面板,,面板
688056,莱伯泰科,通用设备,,通用设备
688057,金达莱,环境治理,,环境治理
688058,宝兰德,横向通用软件,,软件
688059,华锐精密,通用设备,,通用设备
688060,云涌科技,其他计算机设备,,其他计算机设备
688061,灿瑞科技,半导体,,半导体
688062,迈威生物,化学制剂,,化工
688063,派能科技,电池,,锂电池
688065,凯赛生物,其他化学制品,,化工
688067,爱威科技,体外诊断,,体外诊断
688068,热景生物,体外诊断,,体外诊断
688069,德林海,环境治理,,环境治理
688070,纵横股份,国防军工,,军工
688071,华依科技,未知,,未归类
688072,拓荆科技,半导体,,半导体
688073,毕得医药,医疗服务,,医药
688075,安旭生物,体外诊断,,体外诊断
688077,大地熊,磁性材料,,磁性材料
688078,龙软科技,软件开发,,软件
688079,美迪凯,未知,,未归类
688080,映翰通,通信,,通信
688081,兴图新科,国防军工,,军工
688082,盛美上海,半导体,,半导体
688083,中望软件,软件开发,,软件
688084,晶品特装,国防军工,,军工
688085,三友医疗,医疗器械,,医药
688087,英科再生,塑料,,化工
688088,虹软科技,IT服务Ⅲ,,IT服务Ⅲ
688089,嘉必优,化学制品,,化工
688090,瑞松科技,自动化设备,,机器人
688091,上海谊众,化学制剂,,化工
688092,爱科科技,未知,,未归类
688093,世华科技,其他电子Ⅲ,,其他电子Ⅲ
688095,福昕软件,横向通用软件,,软件
688096,京源环保,环境治理,,环境治理
688097,博众精工,自动化设备,,机器人
688098,申联生物,动物保健Ⅱ,,动物保健Ⅱ
688099,晶晨股份,数字芯片设计,,半导体
688100,威胜信息,通信,,通信
688101,XD三达膜,环境治理,,环境治理
688102,斯瑞新材,金属新材料,,化工
688103,国力电子,其他电子Ⅲ,,其他电子Ⅲ
688105,诺唯赞,未知,,未归类
688106,金宏气体,电子化学品Ⅱ,,化工
688107,安路科技,数字芯片设计,,半导体
688108,赛诺医疗,医疗器械,,医药
688109,品茗科技,软件开发,,软件
688110,东芯股份,数字芯片设计,,半导体
688111,金山办公,横向通用软件,,软件
688112,鼎阳科技,通用设备,,通用设备
688113,联测科技,未知,,未归类
688114,华大智造,医疗器械,,医药
688115,思林杰,通用设备,,通用设备
688116,天奈科技,电池化学品,,锂电池；化工
688117,圣诺生物,未知,,未归类
688118,普元信息,软件开发,,软件
688119,中钢洛耐,建筑材料,,建筑材料
688120,华海清科,半导体,,半导体
688121,卓然股份,能源及重型设备,,能源及重型设备
688122,西部超导,国防军工,,军工
